start pipeline configuration
start mask
finished mask
         1911383 function calls (1882899 primitive calls) in 26.152 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.011    0.011 decomp_schur.py:1(<module>)
     7618    0.011    0.000    0.011    0.000 {method 'splitlines' of 'str' objects}
        2    0.000    0.000    0.011    0.005 getlimits.py:127(_init)
        1    0.000    0.000    0.011    0.011 inspect.py:27(<module>)
        1    0.000    0.000    0.011    0.011 azimuthalIntegrator.py:29(<module>)
       22    0.000    0.000    0.011    0.000 pyparsing.py:4210(__init__)
       13    0.000    0.000    0.011    0.001 _distn_infrastructure.py:2649(__init__)
        1    0.000    0.000    0.010    0.010 util.py:11(<module>)
    69/21    0.000    0.000    0.010    0.000 pyparsing.py:3702(leaveWhitespace)
      900    0.001    0.000    0.010    0.000 pyparsing.py:1144(copy)
        1    0.000    0.000    0.010    0.010 transforms.py:30(<module>)
       65    0.002    0.000    0.010    0.000 colors.py:665(from_list)
     1543    0.010    0.000    0.010    0.000 {method 'sub' of '_sre.SRE_Pattern' objects}
       11    0.000    0.000    0.010    0.001 utils.py:1(<module>)
      538    0.010    0.000    0.010    0.000 {built-in method posix.listdir}
        1    0.000    0.000    0.010    0.010 _common.py:5(<module>)
        1    0.000    0.000    0.010    0.010 manage_plugins.py:91(reset_plugins)
        1    0.000    0.000    0.010    0.010 manage_plugins.py:68(_load_preferred_plugins)
        7    0.000    0.000    0.010    0.001 manage_plugins.py:80(_set_plugin)
        9    0.000    0.000    0.010    0.001 manage_plugins.py:214(use_plugin)
       13    0.000    0.000    0.010    0.001 _util.py:182(_asarray_validated)
        7    0.000    0.000    0.010    0.001 manage_plugins.py:279(_load)
     1181    0.010    0.000    0.010    0.000 {method 'read' of '_io.FileIO' objects}
   658/29    0.003    0.000    0.010    0.000 pyparsing.py:1347(_parseNoCache)
        1    0.000    0.000    0.010    0.010 __init__.py:212(<module>)
        4    0.000    0.000    0.010    0.002 common.py:1(<module>)
        1    0.000    0.000    0.010    0.010 asyncio.py:20(<module>)
